iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","GITHUB Public API","400 Bad Request .Will return a random cat with image filtered by :red, :green and :blue","GET","https://cataas.com/cat?filter=custom&r=:red",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Will return a random cat with image filtered by :red, :green and :blue Copy","GET","https://cataas.com/cat?filter=custom&r=:red&g=:green&b=:blue",,,,,,"Status code is 200, Status code name has string",,"2","0","2","0"
"1","GITHUB Public API","400 Bad Request Will return a random cat with :width or :height","GET","https://cataas.com/cat?width=:width ",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Will return a random cat with :width","GET","https://cataas.com/cat?width=500",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Returns a random cat image with a height of 500px","GET","https://cataas.com/cat?height=1000",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","(Returns a random cat image with both width and height set to 500px)","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","400 Bad Request .(Returns a random cat image with both width and height set to 500px) Copy","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Facebook embedded render Will return a random cat in a HTML page,","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Twitter Will return a random cat in a HTML page, usefull for or Facebook embedded render","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","404 Not Found .Requested resource could not be found. Twitter Will return a random cat in a HTML page, usefull for or Facebook embedded render","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Will return a random cat in a JSON object","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Will return a random cat in a JSON object","GET","https://www.facebook.com//cat?json=true",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","/cat/gif/: This indicates you're requesting a random cat gif. says/Hello: This will add text (in this case, the word ""Hello"") on the image or gif. filter=mono: This applies a monochrome (black and white) filter to the image or gif. fontColor=orange: This","GET","https://cataas.com/cat/gif/says/Fuck?filter=mono&fontColor=blue&fontSize=100&type=square",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","/api/cats?tags=tag1,tag2&skip=0&limit=10 This endpoint will return a list of cat images based on certain filters and limits:  tags=tag1,tag2: This parameter filters the images by specific tags. You can replace tag1 and tag2 with actual tags that match the","GET","https://cataas.com/api/cats?tags=Baby,Bengal,Bester&skip=0&limit=10",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","/api/tags This endpoint returns all available tags that you can use to filter cat images. It is useful if you're not sure what tags exist or if you want to explore available categories.","GET","https://cataas.com/api/tags",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Search by image","GET","https://api.trace.moe/search?url=https://images.plurk.com/32B15UXxymfSMwKGTObY5e.jpg",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Image format not correct showing the expect the 404 Not Found Requested resource could not be found.","GET","https://api.trace.moe/search?url=https://images.plurk.com/32B15UXxymfSMwKGTObY5e.jpng",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","This method is the easiest if your image is already hosted somewhere in public. Otherwise, you must upload the image.","POST","https://api.trace.moe/search?url=https://images.plurk.com/32B15UXxymfSMwKGTObY5e.jpg",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","This method is the easiest if your image is already hosted somewhere in public. Otherwise, you must upload the image. . Public URL sending the url","POST","https://api.trace.moe/search?url=https://picsum.photos/200",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Search by image URL 401 Unauthorized The request is unauthenticated.","POST","https://api.trace.moe/search?url=https://www.adoptapet.com/public/apis/pet_list.html",,,,,,"Status code is 200, Content-Type is application/json",,"2","0","2","0"
"1","GITHUB Public API","Search by image URL 400 Bad Request The server could not understand the request. Maybe a bad syntax?","GET","https://api.trace.moe/search?url=""https://api.trace.moe/image/142838/%5BOhys-Raws%5D%20Spy%20x%20Family%202nd%20-%2001%20(TX%201280x720%20x264%20AAC).mp4.jpg?t=680.5%26now=1738926000%26token=eIJEoonxhAfuzAnL5r5By7J3BV8""",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Search by image upload : File size is limited to 25MB. The server would throw HTTP 413 Payload Too Large if it is too large. Copy","POST","https://api.trace.moe/search",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Search by image upload : File size is limited to 25MB. The server would throw HTTP 413 Payload Too Large if it is too large. Copy 2","POST","https://api.trace.moe/search",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Search by image upload : multiple file video files upload will be 200 ok message .","POST","https://api.trace.moe/search",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Search by image upload : File size is limited to 25MB. The server would throw HTTP 413 Payload Too Large if it is too large. Copy 3","POST","https://api.trace.moe/search",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","500 Internal Server Error The server has encountered a situation it does not know how to handle . Error is MulterError: File too large","POST","https://api.trace.moe/search",,,,,,"Status code is 500",,"1","0","1","0"
"1","GITHUB Public API","This is body content not request not working .405 Method Not Allowed Use of the request method is not allowed on the resource .","POST","https://api.trace.moe/search",,,,,,"Status code is 405",,"1","0","1","0"
"1","GITHUB Public API","Search by FORM POST (multipart/form-data)","POST","https://api.trace.moe/search",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Search by FORM POST (multipart/form-data) Copy","POST","https://api.trace.moe/search",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Cut Black Borders trace.moe can detect black borders automatically and cut away unnecessary parts of the images that would affect search results accuracy. This is useful if your image is a screencap from a smartphone or iPad that contains black bars.  To","GET","https://api.trace.moe/search?cutBorders&url=https://images.plurk.com/32B15UXxymfSMwKGTObY5e.jpg",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Filter by Anilist ID You can search for a matching scene only in a particular anime by Anilist ID. This is useful when you are certain about the anime name but cannot remember which episode.  First you have to look for the Anilist ID of your anime from An","GET","https://api.trace.moe/search?anilistID=21034&url=https://images.plurk.com/32B15UXxymfSMwKGTObY5e.jpg",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Upload the Image:  Go to the Body tab in Postman. Select form-data. Under Key, enter file. This is the key expected by the API to upload the image. In the value section, click Select Files and choose the image file you want to upload. This could be a .jpg","GET","https://api.trace.moe/search",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Include Anilist info Asking for Anilist info would slow down your request because it takes additional query to Anilist, and may fail depending on their availability.  Only ask for it when you need nothing more than idMal, title, synonyms, isAdult from Ani","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Media Preview The url you obtained from image and video from search result would expire in 300 seconds (5 minutes)  It can generate image or video preview of 3 sizes by appending size=l (large), size=m (medium, default) or size=s (small) at the end of the","GET","https://api.trace.moe/image/xxx/xxxxxx.mp4.jpg?t=0&now=1653892514&token=xxxxx&size=s",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Media Preview The url you obtained from image and video from search result would expire in 300 seconds (5 minutes)  It can generate image or video preview of 3 sizes by appending size=l (large), size=m (medium, default) or size=s (small) at the end of the","GET","https://api.trace.moe/image/xxx/xxxxxx.mp4.jpg?t=0&now=1653892514&token=xxxxx&size=s",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","For video preview, it can generate a video with sound (default), or a muted video by appending mute to the end of url. e.g.","GET","https://api.trace.moe/video/xxx/xxxxxx.mp4?t=0&now=1653892514&token=xxxxx&mute",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","For video preview, it can generate a video with sound (default), or a muted video by appending mute to the end of url. e.g. Copy","GET","https://api.trace.moe/video/xxx/xxxxxx.mp4?t=0&now=1653892514&token=xxxxx&size=s&mute",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","/me Let you check the search quota and limit for your account (with API key) or IP address (without API key).","GET","https://api.trace.moe/video/xxx/xxxxxx.mp4?t=0&now=1653892014&token=xxxxx&size=s&mute",,,,,,"Status code is 400",,"1","0","1","0"
"1","GITHUB Public API","Using the API with API Keys If you have an API Key that grants you more search quota and limits, put your API key in either HTTP header x-trace-key or query string key.  When searching with API Keys, it would count towards your account quota and limits. W","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Using API Keys in query string If you're lazy and don't mind your API Key being exposed to browser history or logs. Just put your key in key in query string","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Obtain an Auth-Key (Required) : Whenever you interact with the URLhaus API, you must include the HTTP header Auth-Key"" with your Auth-Key. Example curl command:","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Query To retrieve a list of recent URLs (recent additions made to URLhaus), you must send a HTTP GET request to URLhaus as documented below. Please note that the API will return a list of recent additions made in the past 3 days, but will return maximal 1","GET","https://urlhaus-api.abuse.ch/v1/urls/recent/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","You can produce such a request with the following wget command:","GET","https://urlhaus-api.abuse.ch/v1/urls/recent/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","there is an additional (optional) parameter limit that you can use to limit the amount of results to a custom value (max 1000). The following wget will return the 3 most recent results:","GET","https://urlhaus-api.abuse.ch/v1/urls/recent/limit/3/",,,,,,"Each URL object contains an 'id' and 'Url'",,"1","0","1","0"
"1","GITHUB Public API","there is an additional (optional) parameter limit that you can use to limit the amount of results to a custom value (max 1000). The following wget will return the 3 most recent results: Copy","GET","https://urlhaus-api.abuse.ch/v1/urls/recent/limit/10001/",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Query recent payloads Query To retrieve a list of recent payloads (recent payloads seen by URLhaus), you must send a HTTP GET request to URLhaus as documented below. Please note that the API will return a list of recent payloads from the past 3 days, but ","GET","https://urlhaus-api.abuse.ch/v1/payloads/recent/",,,,,,"Each URL object contains an 'id' and 'Url'",,"1","0","1","0"
"1","GITHUB Public API","there is an additional (optional) parameter limit that you can use to limit the amount of results to a custom value (max 1000). The following wget will return the 3 most recent results:","GET","https://urlhaus-api.abuse.ch/v1/payloads/recent/limit/3/",,,,,,"Check if each payload contains md5_hash, sha256_hash, file_type, and virustotal link",,"1","0","1","0"
"1","GITHUB Public API","Query URL information Query To retrieve information about an URL, you must send a HTTP POST request to URLhaus as documented below.","POST","https://urlhaus-api.abuse.ch/v1/url/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Note that if you have the ID of an URL tracked by URLhaus, you can query the API by using that ID instead of the URL:  https://urlhaus-api.abuse.ch/v1/urlid/","POST","https://urlhaus-api.abuse.ch/v1/urlid/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Query host information Query To retrieve information about a host, you must send a HTTP POST request to URLhaus as documented below.  https://urlhaus-api.abuse.ch/v1/host/","POST","https://urlhaus-api.abuse.ch/v1/host/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Query host information Query To retrieve information about a host, you must send a HTTP POST request to URLhaus as documented below.  https://urlhaus-api.abuse.ch/v1/host/ Copy","POST","https://urlhaus-api.abuse.ch/v1/payload/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Query tag information Query To retrieve information about a tag, you must send a HTTP POST request to URLhaus as documented below.","POST","https://urlhaus-api.abuse.ch/v1/tag/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Query signature information Query URLhaus tries to identify the malware family of a payload (malware sample) served by malware URLs. Unlink tags, the signature is something that the reporter of the malware URL can not influence. To retrieve information ab","POST","https://urlhaus-api.abuse.ch/v1/signature/",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Download malware sample Query You can get a copy of a certain payload (malware sample) that URLhaus has retrieved from a malware URL as documented below","POST","https://urlhaus-api.abuse.ch/v1/signature/",,,,,,"Status code is 200",,"1","0","1","0"
